checkpoint,stage,global_step,conditioning,group,samples,evaluation_failures,cer_mean,wer_mean,wavlm_similarity_mean,camp_similarity_mean,dnsmos_ovrl_mean,dnsmos_sig_mean,dnsmos_bak_mean,cer_micro,wer_micro
step_00000100,1,100,stage1_acoustic_plus_native_base_prosody_diagnostic,majestic_en,8,0,0.03486689814814815,0.03645833333333333,0.3302575070410967,0.5508448742330074,3.4146734220439368,3.659000644834392,4.176703595740911,0.020942408376963352,0.02247191011235955
step_00000100,1,100,stage1_acoustic_plus_native_base_prosody_diagnostic,majestic_mixed,8,0,0.026041666666666668,0.041666666666666664,0.3359554633498192,0.3804115690290928,3.400149719454158,3.646129039073816,4.167533727918081,0.0273224043715847,0.05555555555555555
step_00000100,1,100,stage1_acoustic_plus_native_base_prosody_diagnostic,majestic_zh,8,0,0.011634199134199134,0.0,0.41612299531698227,0.39121120795607567,3.394792092611112,3.6347983167593503,4.163269625312212,0.013513513513513514,
step_00001000,1,1000,stage1_acoustic_plus_native_base_prosody_diagnostic,majestic_en,200,0,0.003165153076299956,0.00799803382891618,0.7572231465578079,0.7605528783798218,3.360576280448492,3.5941355177552223,4.174851916037378,0.00303951367781155,0.008208594881699663
step_00001000,1,1000,stage1_acoustic_plus_native_base_prosody_diagnostic,majestic_mixed,50,0,0.012891096317869772,0.056666666666666664,0.7111922252178192,0.5606466674804688,3.4148653331020307,3.6471508682989673,4.187476344710583,0.012411347517730497,0.0625
step_00001000,1,1000,stage1_acoustic_plus_native_base_prosody_diagnostic,majestic_zh,200,0,0.0025183442213998143,0.0,0.7618400302529335,0.571049944460392,3.414843087585483,3.6364361555343776,4.191065250221656,0.0026455026455026454,
step_00002000,1,2000,stage1_acoustic_plus_native_base_prosody_diagnostic,majestic_en,200,0,0.003165153076299956,0.00799803382891618,0.7647271692752838,0.7664682185649871,3.347758413030228,3.584890621266319,4.167905339380384,0.00303951367781155,0.008208594881699663
step_00002000,1,2000,stage1_acoustic_plus_native_base_prosody_diagnostic,majestic_mixed,50,0,0.012277061230150474,0.04,0.7253099358081818,0.5722952842712402,3.4193069001911027,3.652834323991207,4.188546644968223,0.01152482269503546,0.041666666666666664
step_00002000,1,2000,stage1_acoustic_plus_native_base_prosody_diagnostic,majestic_zh,200,0,0.0022242265743409907,0.0,0.775627028644085,0.5842226684093476,3.41381917279243,3.636498907940381,4.188618567114618,0.002380952380952381,
step_00003000,1,3000,stage1_acoustic_plus_native_base_prosody_diagnostic,majestic_en,200,0,0.003165153076299956,0.00799803382891618,0.7688033473491669,0.7664290872216225,3.3570803215542413,3.594798433562377,4.16772022793489,0.00303951367781155,0.008208594881699663
